DATE,PRIZE MONEY (US$),CITY,COUNTRY,REGION, Week number 
02-Jan-2023,60000,Canberra,Australia,O,1
02-Jan-2023,40000,Nonthaburi,Thailand,A,1
02-Jan-2023,25000,Monastir,Tunisia,AF,1
02-Jan-2023,25000,"Malibu, CA",USA,NA,1
09-Jan-2023,40000,Tallinn,Estonia,E,2
09-Jan-2023,40000,Nonthaburi,Thailand,A,2
09-Jan-2023,40000,Monastir,Tunisia,AF,2
09-Jan-2023,25000,Buenos Aires,Argentina,SA,2
09-Jan-2023,25000,Loughborough,Great Britain,E,2
09-Jan-2023,25000,"Naples, FL",USA,NA,2
09-Jan-2023,15000,Fort-de-France (Martinique),France,CA,2
09-Jan-2023,15000,Antalya ,Turkiye,E,2
16-Jan-2023,60000,"Vero Beach, FL",USA,NA,3
16-Jan-2023,40000,Tallinn,Estonia,E,3
16-Jan-2023,40000,Bhopal,India,A,3
16-Jan-2023,40000,Monastir,Tunisia,AF,3
16-Jan-2023,25000,Buenos Aires,Argentina,SA,3
16-Jan-2023,25000,Petit Bourg (Guadeloupe),France,CA,3
16-Jan-2023,25000,"Boca Raton, FL",USA,NA,3
16-Jan-2023,15000,Antalya,Turkiye,E,3
23-Jan-2023,60000,Andrezieux-Boutheon,France,E,4
23-Jan-2023,60000,Sunderland,Great Britain,E,4
23-Jan-2023,40000,Pune,India,A,4
23-Jan-2023,25000,Monastir,Tunisia,AF,4
23-Jan-2023,25000,"Orlando, FL",USA,NA,4
23-Jan-2023,15000,Antalya,Turkiye,E,4
30-Jan-2023,60000,Burnie,Australia,O,5
30-Jan-2023,60000,"Rome, GA",USA,NA,5
30-Jan-2023,40000,Mexico City,Mexico,CA,5
30-Jan-2023,40000,Porto ,Portugal,E,5
30-Jan-2023,25000,Antalya,Turkiye,E,5
30-Jan-2023,15000,Sharm ElSheikh,Egypt,AF,5
30-Jan-2023,15000,Monastir,Tunisia,AF,5
06-Feb-2023,60000,Grenoble,France,E,6
06-Feb-2023,60000,"Orlando, FL",USA,NA,6
06-Feb-2023,40000,Mexico City,Mexico,CA,6
06-Feb-2023,40000,Porto,Portugal,E,6
06-Feb-2023,25000,Burnie,Australia,O,6
06-Feb-2023,25000,Bath,Great Britain,E,6
06-Feb-2023,25000,Antalya,Turkiye,E,6
06-Feb-2023,15000,Sharm ElSheikh,Egypt,AF,6
06-Feb-2023,15000,Jhajjar,India,A,6
06-Feb-2023,15000,Monastir,Tunisia,AF,6
13-Feb-2023,60000,Altenkirchen,Germany,E,7
13-Feb-2023,60000,Irapuato,Mexico,CA,7
13-Feb-2023,25000,Santo Domingo,Dominican Republic,CA,7
13-Feb-2023,25000,Glasgow,Great Britain,E,7
13-Feb-2023,15000,Sharm ElSheikh,Egypt,AF,7
13-Feb-2023,15000,Manacor (Mallorca),Spain,E,7
13-Feb-2023,15000,Jhajjar,India,A,7
13-Feb-2023,15000,Ipoh,Malaysia,A,7
13-Feb-2023,15000,Monastir,Tunisia,AF,7
20-Feb-2023,40000,Macon,France,E,8
20-Feb-2023,25000,Tucuman,Argentina,SA,8
20-Feb-2023,25000,Swan Hill,Australia,O,8
20-Feb-2023,25000,Santo Domingo,Dominican Republic,CA,8
20-Feb-2023,15000,Sharm ElSheikh,Egypt,AF,8
20-Feb-2023,15000,Manacor (Mallorca),Spain,E,8
20-Feb-2023,15000,Gurugram,India,A,8
20-Feb-2023,15000,Kuala Lumpur,Malaysia,A,8
20-Feb-2023,15000,Monastir,Tunisia,AF,8
20-Feb-2023,15000,Antalya,Turkiye,E,8
27-Feb-2023,60000,Trnava,Slovakia,E,9
27-Feb-2023,60000,"Arcadia, CA",USA,NA,9
27-Feb-2023,40000,Astana,Kazakhstan,A,9
27-Feb-2023,25000,Tucuman,Argentina,SA,9
27-Feb-2023,25000,Swan Hill,Australia,O,9
27-Feb-2023,25000,Toronto,Canada,NA,9
27-Feb-2023,25000,Joue-les-Tours,France,E,9
27-Feb-2023,25000,Bengaluru,India,A,9
27-Feb-2023,25000,"Spring, TX",USA,NA,9
27-Feb-2023,15000,Sharm ElSheikh,Egypt,AF,9
27-Feb-2023,15000,Manacor,Spain,E,9
27-Feb-2023,15000,Kuching,Malaysia,A,9
27-Feb-2023,15000,Monastir,Tunisia,AF,9
27-Feb-2023,15000,Antalya,Turkiye,E,9
06-Mar-2023,60000,Astana,Kazakhstan,A,10
06-Mar-2023,60000,Trnava,Slovakia,E,10
06-Mar-2023,40000,Bengaluru,India,A,10
06-Mar-2023,25000,Fredericton,Canada,NA,10
06-Mar-2023,25000,Pretoria,South Africa,AF,10
06-Mar-2023,25000,"Boca Raton, FL",USA,NA,10
06-Mar-2023,15000,Sharm ElSheikh,Egypt,AF,10
06-Mar-2023,15000,Amiens,France,E,10
06-Mar-2023,15000,Monastir,Tunisia,AF,10
06-Mar-2023,15000,Antalya,Turkiye,E,10
13-Mar-2023,60000,Canberra,Australia,O,11
13-Mar-2023,60000,Pretoria,South Africa,AF,11
13-Mar-2023,40000,Anapoima,Colombia,SA,11
13-Mar-2023,40000,Ricany,Czech Republic,E,11
13-Mar-2023,25000,Palmanova (Mallorca),Spain,E,11
13-Mar-2023,15000,Sharm ElSheikh,Egypt,AF,11
13-Mar-2023,15000,Gonesse,France,E,11
13-Mar-2023,15000,Heraklion,Greece,E,11
13-Mar-2023,15000,Jakarta,Indonesia,A,11
13-Mar-2023,15000,Monastir,Tunisia,AF,11
13-Mar-2023,15000,Antalya,Turkiye,E,11
20-Mar-2023,60000,Canberra,Australia,O,12
20-Mar-2023,40000,Maribor,Slovenia,E,12
20-Mar-2023,25000,Mosquera,Colombia,SA,12
20-Mar-2023,25000,Palmanova (Mallorca),Spain,E,12
20-Mar-2023,25000,Jakarta,Indonesia,A,12
20-Mar-2023,15000,Sharm ElSheikh,Egypt,AF,12
20-Mar-2023,15000,Le Havre,France,E,12
20-Mar-2023,15000,Heraklion,Greece,E,12
20-Mar-2023,15000,Hinode,Japan,A,12
20-Mar-2023,15000,Monastir,Tunisia,AF,12
20-Mar-2023,15000,Antalya,Turkiye,E,12
27-Mar-2023,60000,Croissy-Beaubourg,France,E,13
27-Mar-2023,40000,Murska Sobota,Slovenia,E,13
27-Mar-2023,25000,Sopo,Colombia,SA,13
27-Mar-2023,25000,Jakarta,Indonesia,A,13
27-Mar-2023,25000,Kofu,Japan,A,13
27-Mar-2023,15000,Sharm ElSheikh,Egypt,AF,13
