Level,Rank,Earnings,Points
GrandSlam,1,790524.3087233873,637.6549050949051
GrandSlam,2,446615.14748069877,412.27660566557637
GrandSlam,3,797565.2299999999,572.339126984127
GrandSlam,4,762193.2586367246,578.5290043290044
GrandSlam,5,770700.1440386974,647.8231569819069
GrandSlam,6,894143.0314360918,729.291544289044
GrandSlam,7,282132.6817914861,258.5310064935065
GrandSlam,8,995920.522651099,795.3234809634811
GrandSlam,9,601306.6945743145,462.92909090909086
GrandSlam,10,497717.52276132227,471.95011183261187
GrandSlam,11,742405.738387085,697.9526515151515
GrandSlam,12,350653.39678571426,338.20369047619045
GrandSlam,13,492561.39028932183,456.25443001443006
GrandSlam,14,286183.6765555556,267.13472222222225
GrandSlam,15,232992.59180952384,194.10047619047617
GrandSlam,16,595083.21138456,549.7989357864359
GrandSlam,17,529024.1872777778,523.711626984127
GrandSlam,18,324777.38097222225,308.40892857142853
GrandSlam,19,676995.8604191918,498.65456487956493
GrandSlam,20,248258.98392857134,213.6685317460317
GrandSlam,21,217329.0232005772,178.5654617604618
GrandSlam,22,308986.80955483415,281.5498196248195
GrandSlam,23,856853.2492567988,720.628879176379
GrandSlam,24,451839.6021322843,427.9773337773337
GrandSlam,25,488044.9158777057,425.19401515151515
GrandSlam,26,1012638.980174603,811.8780952380955
GrandSlam,27,501183.2691860917,462.95253052503045
GrandSlam,28,301831.34880158724,276.1534235209235
GrandSlam,29,207744.5008953823,165.4262987012987
GrandSlam,30,519841.3762698412,460.9195238095238
GrandSlam,31,321585.671469697,292.30450216450214
GrandSlam,32,490535.31382142863,419.3584126984126
GrandSlam,33,652773.8394312077,510.50980297480305
GrandSlam,34,168274.07905555554,119.93718253968251
GrandSlam,35,365675.70753174595,336.07523809523815
GrandSlam,36,222906.564968254,176.73967893217898
GrandSlam,37,287363.82848557003,259.93602092352086
GrandSlam,38,434096.28448376624,401.97358585858586
GrandSlam,39,291588.3435793651,263.155
GrandSlam,40,152506.70434126983,106.2218650793651
GrandSlam,41,297273.7714087301,270.9846031746032
GrandSlam,42,740719.0458690478,523.786111111111
GrandSlam,43,206303.48444444445,167.20218253968258
GrandSlam,44,225833.52224242422,187.31821067821068
GrandSlam,45,296309.3574639249,263.8329509379509
GrandSlam,46,198132.62762301587,159.53984126984125
GrandSlam,47,331628.9919772728,317.10113275613276
GrandSlam,48,255070.73314285718,227.93678571428575
GrandSlam,49,158154.82845238096,114.01392857142861
GrandSlam,50,220919.20715440117,183.71894660894668
GrandSlam,51,247692.7280396825,217.81126984126982
GrandSlam,52,223444.71721608948,181.6769444444445
